RegionName,RegionType,StateName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Louisville-Jefferson County, KY",Msa,KY,140533.5,134767.5,133436.0833,135074.8333,140131.5833,144006.6667,150393.1667,159591.8333,169885.5833,177309.1667
"Hartford, CT",Msa,CT,245413.6667,232337.4167,220715.3333,224693.0833,226999.3333,223491.4167,224826.4167,230323.6667,235221.75,237190.0833
"Richmond, VA",Msa,VA,206217.3333,192660.4167,187490.8333,193658.5,199853.5,204266.6667,210898.3333,222221.1667,233355.0833,244392.3333
"New Orleans, LA",Msa,LA,181112.0833,174580.1667,171709.25,175647.1667,181905.4167,186626.5833,193247.0833,198691.25,202103.1667,204568.5833
"Buffalo, NY",Msa,NY,127889.0833,126643.0833,125718.8333,129500.75,134510.0833,137198.75,142236.1667,151836.1667,162148.8333,171468.75
"Raleigh, NC",Msa,NC,214793.1667,204672.8333,201205.8333,208532.5,217246.5833,226869.1667,238905.1667,254164,268150.6667,281655.75
"Birmingham, AL",Msa,AL,143627.9167,137172.4167,132645.5,135346.6667,137976.25,141789.25,145650.4167,151237.5833,158416.0833,167067.5
"Salt Lake City, UT",Msa,UT,232514.75,213278.8333,215582.5833,242857.4167,258097.0833,272396.9167,294165.0833,321459.4167,350563.5,378012.75
"Rochester, NY",Msa,NY,129307.1667,125921.8333,125376.5833,127320.75,129278.9167,131398.3333,140613.3333,144305.8333,146414.0833,154832.25
"Grand Rapids, MI",Msa,MI,129245.9167,123009.5,124924.5833,135526.1667,146178.5,156572.75,168747.6667,184659.0833,200216,214595
"Tucson, AZ",Msa,AZ,171825.5,150935.6667,146119.1667,158566.25,168724.75,170083.3333,176218.25,187671.5,201585.5,213879.4167
"Urban Honolulu, HI",Msa,HI,523784.5833,530730.5,531731.4167,558448.8333,599915.3333,624000.5,649120.6667,687787.6667,717111.9167,719780.75
"Tulsa, OK",Msa,OK,127519,122187.3333,120609.5,123091,125682.25,129475.9167,133187.75,138616.1667,143227.3333,147399.4167
"Fresno, CA",Msa,CA,176827.6667,156014,155789.9167,178585.5833,200772.25,208108.0833,219990,236335.9167,255661.1667,267337.6667
"Worcester, MA",Msa,MA,244015,228879.75,217677,227616.75,238523.8333,241536.5,252382,267736.75,283799.9167,293340.8333
"Stamford, CT",Msa,CT,422536.1667,397792.5,386379.5,391354,404072.1667,403656,406849.6667,410555,416539.4167,417634.9167
"Albuquerque, NM",Msa,NM,183495.5833,172923.9167,168963.75,172833.5,176893.4167,178390.3333,182664.8333,188667.4167,195984.75,206183.75
"Albany, NY",Msa,NY,188519.75,181733.4167,177791.1667,181407.1667,180027.25,179714.4167,182257,187299.5833,196867.25,202989.6667
"Omaha, NE",Msa,NE,148705.5833,141851.25,141720.3333,146998.25,152059.5,157769.5833,164869.75,175596.25,187449.3333,196769.0833
"New Haven, CT",Msa,CT,242299.25,227078.6667,213279.25,215530.5,214804.9167,213951.1667,211565.5833,216792.5,225471.8333,230512.9167
"Bakersfield, CA",Msa,CA,144423.3333,133040,135913.75,161344.25,184652.8333,191862.8333,197259.5,204551,215887.0833,226778.5833
"Knoxville, TN",Msa,TN,151578.0833,147461,145926.0833,147674,150813.8333,154247.5,160672.3333,168670.25,179282.9167,191222.6667
"Greenville, SC",Msa,SC,154130.9167,148689,146638.25,150008.1667,155380.5833,161756.25,169768.4167,181629.5833,194372.75,205878.0833
"Ventura, CA",Msa,CA,435500.0833,412838,391783.0833,455696.6667,507639.25,522221.75,550577.1667,579341.0833,607369.3333,615764
"Allentown, PA",Msa,PA,200113.5,187592.5,178536,180245.5833,183555.1667,183757.8333,187514,193172.75,203660.25,211421
"El Paso, TX",Msa,TX,126573.5833,123688.0833,121281,121815.4167,121904.0833,121437.0833,122550.9167,127007.5833,128186.6667,134698.3333
"Baton Rouge, LA",Msa,LA,176804.0833,167585,164863.0833,168330.25,172673.25,176371.0833,179361.4167,183732.5833,193665.6667,190014
"Dayton, OH",Msa,OH,105655.4167,102445.0833,99835.58333,98511.33333,104398,104987.4167,109476.1667,115602,124420.9167,132015.6667
"McAllen, TX",Msa,TX,81889.33333,82863.58333,83038.08333,87600.25,92948.08333,96665.75,101652.8333,106145.75,111145.5,116891.3333
"Columbia, SC",Msa,SC,147275.25,141491.3333,135809.0833,133743.5,135541.25,136821.8333,141729.4167,147786.8333,152863.6667,159846
"Greensboro, NC",Msa,NC,129657.6667,123904,119669.1667,121224.5833,123279.8333,125472.0833,128177.25,134644.4167,141678.0833,150875.6667
"Akron, OH",Msa,OH,128929,121964.0833,116691.3333,120387.5,122219,124594.0833,128952,136269.1667,143723,151162.4167
"North Port-Sarasota-Bradenton, FL",Msa,FL,183322.3333,171415.8333,173122.3333,194252.9167,214516.75,233463.5,253155.1667,263722.75,271869.75,278694.6667
"Little Rock, AR",Msa,AR,140242.1667,136537.75,136623.0833,138428.4167,138685.75,140338,142269.9167,144556.5,148607.4167,152028.4167
"Stockton, CA",Msa,CA,183507.4167,170225.9167,168938.1667,209189.6667,260028.9167,274471.9167,299614,328544.5,360808.6667,374101.8333
"Charleston, SC",Msa,SC,204689.3333,187717.5833,186459.5,198545.1667,211719,223376.3333,236058.75,250485.1667,265942.5,274625
"Syracuse, NY",Msa,NY,126254.4167,123439.4167,122233.25,124641.4167,125240.5833,125609.5,126171.3333,130439.3333,138393.5833,142871.4167
"Colorado Springs, CO",Msa,CO,212294.9167,202508.5833,203996.3333,213820.8333,220762.75,231216.1667,247432.6667,270157.5833,293600.6667,312366.6667
"Winston-Salem, NC",Msa,NC,132311.8333,127295.5833,123896.6667,123808.75,126314.3333,128068.5833,131360,137865.9167,145712.0833,154765.6667
"Wichita, KS",Msa,KS,121637.3333,117178.3333,115533.4167,116068.8333,117575.4167,121648.25,125162.9167,130069.25,134800,141304.6667
"Springfield, MA",Msa,MA,211376.9167,201549.25,195375.4167,198166.0833,201955.6667,203930,207879,215184.5,226506.5,232764.8333
"Fort Myers, FL",Msa,FL,147728.6667,142816.3333,149655.9167,168102.5,185973.0833,205367.4167,223885.5,232024.3333,239739.3333,243617.75
"Boise City, ID",Msa,ID,157255.8333,138924.25,148585.5,177248.4167,189291.1667,198603.0833,214406.8333,233625.8333,265704.5833,299934.6667
"Toledo, OH",Msa,OH,106940.25,100355.9167,97296.41667,96798.25,97860.66667,101837,106475.5833,110286.25,116273.0833,121419
"Madison, WI",Msa,WI,214299.75,206491.6667,202638.9167,208499.5833,216995.8333,224632.5,235811,252512.1667,267005.3333,278938.5833
"Lakeland, FL",Msa,FL,123644.25,106243.5833,105437.75,116813.75,131234.5,140056.25,150852.1667,164083,179085.8333,191055.1667
"Ogden, UT",Msa,UT,201853.4167,188986.9167,188502.4167,204138.8333,214148,223714.5833,244187.8333,268135.6667,295673.6667,320304.3333
"Daytona Beach, FL",Msa,FL,140831.5,126788,122974.25,137388.9167,152895.1667,160852.4167,173566.5,191405.0833,206860.9167,218719.9167
"Des Moines, IA",Msa,IA,158109.75,151833.3333,151769.9167,158722.75,162498,168247.6667,178241.1667,186833,196170.1667,203001.9167
"Jackson, MS",Msa,MS,127852.5833,123802.75,121774.3333,121473.3333,120530.1667,127383.6667,129578.3333,133673.9167,137542.5,142031.5
"Youngstown, OH",Msa,OH,87009.25,82828.58333,80735,81419.75,80932.25,82094,84563.41667,89773,94750.83333,98683.41667
"Augusta, GA",Msa,GA,131169.0833,125482.9167,121381.3333,123595.4167,125934.5833,129529.8333,134374.5833,137365.5,146929.75,153903.6667
"Scranton, PA",Msa,PA,115570.0833,112204.3333,106599,107269.1667,107180.6667,107268.4167,107476.4167,108451.6667,114570,118360.8333
"Harrisburg, PA",Msa,PA,172964.1667,167362.5,164653,165670.6667,168278.3333,169007,172012.4167,178584.0833,184610.3333,190727.0833
"Melbourne, FL",Msa,FL,135486.5,120177.25,120585.5833,133116.3333,148013.8333,161658.0833,180383.8333,199083.5833,214506.8333,223897
"Chattanooga, TN",Msa,TN,131027.5833,126555.6667,122633.5833,126975.5,133121.25,136181.4167,142737.75,153051,161906.5833,172881.5833
"Spokane, WA",Msa,WA,183935.3333,169861.1667,166976.5833,170257,174660.5,183097.25,198196.5,217313.4167,241737.5833,266085.3333
"Provo, UT",Msa,UT,227120.25,207761.8333,212622,239057.5,253719.6667,267480.9167,288115.9167,309366.25,339195.5833,363141.6667
"Lancaster, PA",Msa,PA,199844.9167,190634.9167,187516.25,187854,192277.3333,194821.5,201045.6667,209420.9167,224432.5,232042.4167
"Modesto, CA",Msa,CA,156052.9167,146575.9167,145986.3333,183014.9167,227311.3333,241680.3333,264177.75,286355.0833,311578.3333,325406.4167
"Portland, ME",Msa,ME,240983.1667,235966.6667,232060.3333,240410.0833,243907.75,248638.1667,262551.8333,279924,298492.3333,310985.5833
"Durham, NC",Msa,NC,206901.3333,197668.1667,189922.9167,197108.1667,204370.4167,210512.3333,221122.5,235607.6667,253567.4167,269329.1667
"Santa Rosa, CA",Msa,CA,394906.5833,362282.25,350558.6667,419990.9167,484811.25,520578.0833,562088.4167,602831.0833,656857.9167,637862.5
"Lexington, KY",Msa,KY,155121.5,150824.0833,149101.8333,152506,154244.9167,159925.1667,164798.25,174823.5,184625.6667,192232.6667
"Lafayette, LA",Msa,LA,137768.8333,135778.9167,133337.1667,138638.8333,142763.0833,147472.1667,150279,153723.5833,155570.3333,158529.4167
"Lansing, MI",Msa,MI,117006.3333,111614.3333,111379.25,117074.0833,125564.75,129892.5,136179.5833,145111.6667,154761.9167,163145
"Fayetteville, AR",Msa,AR,142922.0833,133293.5,136051.9167,142967.9167,149245.0833,154347.6667,162442.9167,172497.75,183951.8333,192856.4167
"Pensacola, FL",Msa,FL,145078.25,132836.8333,129217.25,135160.1667,140312,145239.1667,151399.5833,162974.1667,175072.75,185840.25
"Visalia, CA",Msa,CA,148820,131963.75,129005.6667,153072.5833,168007.5833,177045.75,189346,199205.3333,215261.5,223647.5
"Shreveport, LA",Msa,LA,118374.6667,119364.6667,120715.9167,118700.3333,115855.9167,113597.9167,114863.8333,116327,117335.8333,115591.1667
"Springfield, MO",Msa,MO,122915.6667,116161.75,115522.3333,118977.1667,123687.5833,125477.4167,130546.8333,136775,145811.0833,155314.4167
"York, PA",Msa,PA,181253.3333,167853.6667,161205.8333,161337.8333,164319.8333,167470.5,171070.75,177481.8333,184253.5833,191587.6667
"Corpus Christi, TX",Msa,TX,126986.9167,123439,124581.1667,128013.5,134765.8333,144568.5,151608.1667,157189.1667,160049.75,162636.9167
"Flint, MI",Msa,MI,91306.41667,75580.16667,73860.5,75135.75,84979.16667,93120,97607.33333,106535.9167,115328.5,124596.5
"Reno, NV",Msa,NV,195603.8333,174391.25,168491.8333,210288.5833,244178.6667,273306.3333,302863.5833,327176.0833,364062.9167,383220
"Asheville, NC",Msa,NC,202140.5833,193938.3333,188331.3333,191251.5,199601.4167,209927.25,222751,242756,261769.6667,273117
"Port St. Lucie, FL",Msa,FL,131589.3333,125236.3333,125583.1667,137343.6667,156633.25,173175.5833,194803.8333,211718.5833,228048.4167,238893.75
"Santa Maria-Santa Barbara, CA",Msa,CA,473269.8333,425352.4167,403187.1667,473075.5833,537863.75,560022.75,581849.75,598982,627760.1667,640580.0833
"Huntsville, AL",Msa,AL,155691.5,164228.5833,160223.9167,159440.6667,160715.1667,162024.6667,165735.4167,169676.5833,178940.3333,187121
"Fort Wayne, IN",Msa,IN,109021.25,106739.8333,106133.5,107662.5,110407.9167,114083.5,118508.4167,127073.0833,135338.6667,146515.3333
"Salinas, CA",Msa,CA,349186.8333,324810.5833,322250.8333,378142.75,451944.75,470912.0833,510380.5833,543122.75,573973.9167,600003.3333
"Vallejo, CA",Msa,CA,235603.4167,218573.9167,209015.75,262144.4167,324071,348448,376488.0833,407143.6667,442312.5,453819.1667
"Mobile, AL",Msa,AL,126601.1667,111640.5,104733.25,105131.8333,105480.5833,107116.4167,110647.5833,115437.8333,120096.75,125146.5
"Reading, PA",Msa,PA,172396.8333,161479.5,155460.1667,156878.0833,158257.0833,160263.4167,162905.75,168840.25,181493.9167,187401.9167
"Brownsville, TX",Msa,TX,96022.25,92617.25,91535.75,90791.83333,90944.41667,94494.58333,94620.58333,97824.83333,100070.6667,102888.8333
"Killeen, TX",Msa,TX,129777.6667,127076.1667,125777.25,125723.3333,127849.6667,132591,136222.5,141533.75,149015.1667,156383
"Canton, OH",Msa,OH,113132.5833,104929.0833,102911.3333,105925.1667,106739.75,110221.0833,115405.25,118958.3333,126011.8333,134094.9167
"Beaumont, TX",Msa,TX,100191.8333,98570.16667,97993,102872.0833,109066,114839,119252.0833,121512.4167,124986.4167,130416.6667
"Manchester, NH",Msa,NH,240385.9167,227024.4167,218780.5,227980.3333,236623,247507,256371.1667,272422.4167,290539.25,302314.0833
"Salem, OR",Msa,OR,198197.5833,180619.3333,172158.1667,180273.4167,195730.6667,211437.9167,233029.4167,260344.1667,290928,311429.9167
"Anchorage, AK",Msa,AK,268367.0833,263327.25,267777.4167,275401.8333,285478.0833,295005.3333,299560.75,298152.75,299290.25,317350.8333
"Davenport, IL",Msa,IL,115037.8333,111606.8333,110255.75,112709.0833,116385.8333,118088.75,120643.6667,124118.6667,128609.3333,131827.25
"Peoria, IL",Msa,IL,118950.6667,115149.75,112970.6667,112884.25,114912,115818.75,115686.0833,114913.75,114808.5833,114005.5833
"Myrtle Beach, SC",Msa,SC,183217.9167,167918.3333,164692.5833,166335.4167,175507.0833,179747.6667,185038.1667,190599.9167,201443.9167,209879.5833
"Montgomery, AL",Msa,AL,132793.3333,127858.0833,123958.75,126342.5833,126302.4167,127908.0833,127457.4167,130461.4167,132207,135974.25
"Salisbury, MD",Msa,DE,248605.5,231074.8333,222061.5833,228482.4167,230578.75,234028.3333,235369.6667,240653.5,251647.9167,257612.3333
"Gulfport, MS",Msa,MS,134869.3333,132475.25,123593.75,116451.6667,116555,119612.3333,123455.3333,128869.3333,134609.0833,139604.9167
"Tallahassee, FL",Msa,FL,147652.9167,134745.75,129690.75,134963.25,141123.3333,145698.5,152451.75,162045.5,172037,178710.5833
"Trenton, NJ",Msa,NJ,263901.5833,240888.6667,224753.5833,228896.3333,234094.5833,236202.3333,236504,238094.3333,247854.3333,254682.3333
"Fayetteville, NC",Msa,NC,131660,130648.1667,125676.75,122397.9167,122817.25,120663.4167,120333.25,123525.0833,126061.0833,131658.75
"Hickory, NC",Msa,NC,125147.9167,120328.9167,117635.75,117939.4167,119854.75,122495.3333,127876.6667,134424.8333,143739.0833,153532.0833
"Huntington, WV",Msa,WV,82938.41667,83041.75,83879.91667,84965.16667,87079,89678.5,92389.08333,95887.16667,99788.33333,103476.6667
"Eugene, OR",Msa,OR,222341.4167,201071.25,196164.5833,205782.75,219617.75,227262.9167,244890.25,266369.4167,289839.4167,308533
"Rockford, IL",Msa,IL,112237.5,106432.4167,100594.9167,99488.83333,97635.33333,100968.1667,105638.25,111802.4167,116582.6667,121563.8333
"Savannah, GA",Msa,GA,167899.3333,156820.9167,150911.1667,155237.75,162525.3333,169134.9167,175819.0833,180901.1667,191216.8333,200088.3333
"Ann Arbor, MI",Msa,MI,188093.25,183706.5833,187945.6667,206028.5833,230018.5,239745.5833,254119.4167,270694.9167,290930.0833,305900.4167
"Ocala, FL",Msa,FL,119334.3333,103704.25,97875.5,104113.5,111470.5833,118422.1667,126793.0833,139316.25,150284.6667,161002.25
"Kalamazoo, MI",Msa,MI,124340.3333,118290.5,117670.8333,123925.5833,131451.9167,136124.5,143511.25,152193.75,164226.4167,174564.5833
"Naples, FL",Msa,FL,250404.6667,235141.6667,236419.5833,260186.75,289801.4167,323042.75,345070.5833,345327.8333,348119.5833,348210.0833
"South Bend, IN",Msa,IN,107529.75,102287.1667,98803.08333,101186,103987.9167,106976.0833,112127.8333,119375.9167,128385.0833,135540.3333
"Spartanburg, SC",Msa,SC,117988.75,111317.6667,111696.5833,114194.1667,115610.1667,117991.9167,123066.75,132550.0833,142746.0833,152122
"Evansville, IN",Msa,IN,112463.8333,111410.0833,111172.5833,112281.8333,114785.0833,118214.25,122594.4167,128015.6667,134494.75,140412.25
"Kingsport, TN",Msa,TN,107812.6667,105381.1667,104973.1667,106432.5833,108926.75,110465,113616.0833,117996.4167,124580.9167,130071.75
"Roanoke, VA",Msa,VA,153318.4167,150656.6667,150684.75,153264.4167,156889.75,161158.4167,164441.1667,169090.75,174519.6667,182567.8333
"Green Bay, WI",Msa,WI,148767.5,138460.4167,133779.75,131809.5,138296.5,142776.1667,149355.25,159628.75,170374.5833,179622.25
"Lincoln, NE",Msa,NE,148529.4167,145226.25,144444,154697.9167,154125.1667,162952.0833,169584.0833,181659.5833,193015.0833,201802.1667
"Fort Collins, CO",Msa,CO,244427.4167,240967.5,246295.5,260492.8333,279042.8333,307849.25,342832.25,373343.25,394339.75,409258.4167
"Utica, NY",Msa,NY,111306.75,109183.1667,107722.5833,110230.0833,110801.75,111995.25,114936.1667,120127.0833,128175.5,134900
"Columbus, GA",Msa,GA,124377.4167,118637.4167,111919.9167,110212.5833,110400.1667,111119.9167,112024.5,113467.0833,118249.3333,123310.0833
"Boulder, CO",Msa,CO,333209.8333,328210.5,332760.5,354503.75,383232.75,426091.5833,483049,517426.0833,546825.6667,566744.5
"Lubbock, TX",Msa,TX,129594,128270.3333,127065.6667,128517.5833,131236.8333,128950,132891.0833,145469.9167,152280.4167,155322.4167
"Erie, PA",Msa,PA,121479.8333,120494.0833,120129.5833,121247.25,121783.4167,122607.1667,123980.8333,125882.75,128252.0833,131353.5833
"Fort Smith, AR",Msa,AR,92388.5,89698.83333,90564.16667,91693.16667,92904.33333,95455.66667,98643.33333,102185.5,105581.25,109881
"Duluth, MN",Msa,MN,139250.6667,132669.1667,129142.4167,131411.5,138048.1667,140467.1667,143626.3333,156025.3333,161771.3333,168050.9167
"Atlantic City, NJ",Msa,NJ,229490,214173.5833,202746.4167,198699.4167,202145.9167,193324,182097.8333,181829.1667,191702.5,202482.3333
"New London, CT",Msa,CT,254668,239058.75,223204.0833,223612.75,225807.5,224575.75,225695.75,235677.0833,240616.1667,245378.9167
"San Luis Obispo, CA",Msa,CA,436654.25,403652.75,401822.5833,454082.3333,497701.8333,522548.3333,556326.5833,583185.4167,616015.8333,623942.5833
"Gainesville, FL",Msa,FL,162045.25,144716.25,135762.8333,139476.25,148530.5833,154461.5833,162376.1667,174908.4167,185310.0833,195886.75
"Santa Cruz, CA",Msa,CA,551021.4167,509934.9167,505050.6667,583455.4167,654732.75,696201.5833,755148.9167,795670.5833,860638.1667,863284
"Clarksville, TN",Msa,TN,144421,144584.0833,146059.8333,146062.5,148129,149109.3333,151802.3333,156674.75,165063.8333,172833.0833
"Cedar Rapids, IA",Msa,IA,137045.1667,133146.5833,132228.5833,134829,137293.1667,139248.5833,142177.1667,148112.3333,152826,158493
"Merced, CA",Msa,CA,122963.0833,121245.9167,120931.6667,149609,186413.1667,198666.9167,218273.6667,241471.8333,264631.9167,278118.5
"Wilmington, NC",Msa,NC,215257.8333,198046.9167,189206,196513.6667,203967.25,209853.75,218572.5,230557.25,245253.0833,255068.4167
"Kennewick, WA",Msa,WA,179791.6667,182596.5,181720.5,184611.3333,189000.75,200066.9167,218159.8333,239641.1667,267256,301210.25
"Greeley, CO",Msa,CO,205401.9167,199100.9167,204972.25,218929.3333,243818.4167,272820.75,301136.0833,331394.5,359616.1667,379395.4167
"Waco, TX",Msa,TX,113305.75,113033.1667,111366.9167,112654.75,115983.4167,120650.3333,126236.0833,139873.5,152383.6667,161155.9167
"Olympia, WA",Msa,WA,250253.0833,226145,213544,220140.9167,231208.5,240124.4167,259415.6667,280360,308116.9167,331159.5
"Amarillo, TX",Msa,TX,119783.5833,117185.5,116716,120126.1667,124114.75,127753.0833,133117.0833,137060.1667,141178.5,145438.3333
"Binghamton, NY",Msa,NY,117005.3333,110050.8333,107692.5,109455.4167,109694.25,108652.3333,109836.5,111199.5833,118062.4167,120513.5833
"Hagerstown, WV",Msa,MD,175375.9167,156786.5833,156613.1667,163599.75,169022.4167,171720.6667,175128.5,182017.8333,192075.1667,199325.8333
"Bremerton, WA",Msa,WA,269168.75,252017.0833,235417.5833,244819.0833,253843.5833,269630.6667,301343.75,331659.6667,358084.75,384292.25
"Laredo, TX",Msa,TX,131882.1667,128910,129614.3333,129702.25,131385.8333,136931.5833,141305.4167,145218.5833,148467.0833,159306.3333
"Lynchburg, VA",Msa,VA,152076.9167,147957.5833,146743.4167,148228.75,150978.9167,155634.9167,160725.5,167340.4167,173922.9167,182015.75
"Yakima, WA",Msa,WA,162182.8333,153694.0833,153726.5833,153231.5833,154712.4167,161532.5,172926.75,185893.4167,205184.75,226046.8333
"Crestview-Fort Walton Beach-Destin, FL",Msa,FL,212248.1667,197679.1667,196619.5833,209017.25,220164,225877.5833,232021.5,244008.0833,260429.9167,274154.9167
"Topeka, KS",Msa,KS,113435,109835.9167,109578.25,109184.5833,110914.6667,112205.4167,113411.1667,118112.6667,124088.6667,129550.75
"Macon-Bibb County, GA",Msa,GA,86262.58333,80436.16667,77604.08333,80385,85205.83333,89119.25,91025.83333,95303.58333,102263.5,107995.5
"Champaign-Urbana, IL",Msa,IL,137755,135190.5833,132375.75,132012.4167,133100.5833,136255.5,139314.4167,142075.5,141516,145350.9167
"Tuscaloosa, AL",Msa,AL,143500.1667,138609.6667,139903.8333,140732.25,144811.25,148062.5,148547.5833,148537.0833,158371.9167,165603.4167
"College Station, TX",Msa,TX,148381.4167,148234.25,148137.6667,153267.4167,161527.5,173966.5,186617.5833,199526.8333,210022.4167,215496.3333
